node_id,index,UniProt
9606.ENSP00000226444,341,P49888
9606.ENSP00000226524,342,P10720
9606.ENSP00000226574,343,P19838
9606.ENSP00000226730,344,P60568
9606.ENSP00000226798,345,Q14331
9606.ENSP00000226951,346,Q7Z7G1
9606.ENSP00000227155,347,P27701
9606.ENSP00000227163,348,P17947
9606.ENSP00000227266,349,P53634
9606.ENSP00000227348,350,O95727
9606.ENSP00000227471,351,Q9H1C4
9606.ENSP00000227524,352,Q9UMS4
9606.ENSP00000227667,353,P02656
9606.ENSP00000227752,354,Q13651
9606.ENSP00000227868,355,O00330
9606.ENSP00000228434,356,Q07108
9606.ENSP00000228437,357,Q9UKN5
9606.ENSP00000228438,358,Q92478
9606.ENSP00000228463,359,Q14242
9606.ENSP00000228476,360,P14920
9606.ENSP00000228495,361,Q9H3F6
9606.ENSP00000228506,362,Q14165
9606.ENSP00000228510,363,Q03426
9606.ENSP00000228740,364,P09960
9606.ENSP00000228820,365,Q9NR21
9606.ENSP00000228825,366,O15145
9606.ENSP00000228837,367,P10767
9606.ENSP00000228872,368,P46527
9606.ENSP00000228918,369,P36941
9606.ENSP00000228938,370,P08493
9606.ENSP00000228945,371,P52566
9606.ENSP00000229030,372,Q9ULW2
9606.ENSP00000229134,373,Q9NPH9
9606.ENSP00000229135,374,P01579
9606.ENSP00000229268,375,P45974
9606.ENSP00000229270,376,P60174
9606.ENSP00000229307,377,Q9H9S0
9606.ENSP00000229332,378,Q9UMR7
9606.ENSP00000229340,379,Q15286
9606.ENSP00000229402,380,Q12918
9606.ENSP00000229595,381,Q9Y294
9606.ENSP00000229708,382,Q9BZM6
9606.ENSP00000229771,383,O00294
9606.ENSP00000229795,384,Q16539
9606.ENSP00000230048,385,Q9NPJ3
9606.ENSP00000230050,386,P25398
9606.ENSP00000230056,387,O75496
9606.ENSP00000230085,388,O60493
9606.ENSP00000230124,389,Q92562
9606.ENSP00000230354,390,P20226
9606.ENSP00000230361,391,Q9UMX6
9606.ENSP00000230538,392,Q16363
9606.ENSP00000230588,393,Q16819
9606.ENSP00000230658,394,P61371
9606.ENSP00000230792,395,Q9BQG2
9606.ENSP00000230990,396,Q99075
9606.ENSP00000231009,397,P49863
9606.ENSP00000231061,398,P09486
9606.ENSP00000231198,399,Q9NWX6
9606.ENSP00000231228,400,P29460
9606.ENSP00000231238,401,Q99614
9606.ENSP00000231449,402,P05112
9606.ENSP00000231454,403,P05113
9606.ENSP00000231461,404,Q92187
9606.ENSP00000231484,405,Q9NPG4
9606.ENSP00000231487,406,P63208
9606.ENSP00000231509,407,P04150
9606.ENSP00000231721,408,Q9NS98
9606.ENSP00000231751,409,P02788
9606.ENSP00000232003,410,P04196
9606.ENSP00000232217,411,P50120
9606.ENSP00000232219,412,P09455
9606.ENSP00000232375,413,Q16877
9606.ENSP00000232424,414,Q14469
9606.ENSP00000232905,415,O60739
9606.ENSP00000233025,416,Q9Y6A9
9606.ENSP00000233078,417,Q96EP5
9606.ENSP00000233121,418,Q9UPY8
9606.ENSP00000233146,419,P43246
9606.ENSP00000233154,420,O43639
9606.ENSP00000233156,421,P10646
9606.ENSP00000233242,422,P04114
9606.ENSP00000233336,423,Q8NG68
9606.ENSP00000233379,424,Q96GK7
9606.ENSP00000233468,425,Q9Y3B4
9606.ENSP00000233575,426,Q15036
9606.ENSP00000233668,427,Q99704
9606.ENSP00000233710,428,P28330
9606.ENSP00000233735,429,P05451
9606.ENSP00000233809,430,P18065
9606.ENSP00000233813,431,P24593
9606.ENSP00000233893,432,P61604
9606.ENSP00000233954,433,Q01638
9606.ENSP00000233997,434,P20160
9606.ENSP00000234071,435,P04070
9606.ENSP00000234091,436,Q02363
9606.ENSP00000234111,437,P11926
9606.ENSP00000234198,438,Q07687
9606.ENSP00000234310,439,P63098
9606.ENSP00000234313,440,P08567
9606.ENSP00000234347,441,P24158
9606.ENSP00000234453,442,Q9HB20
9606.ENSP00000234454,443,P35270
9606.ENSP00000234701,444,A8K7I4
9606.ENSP00000234816,445,O95841
9606.ENSP00000235310,446,Q9UI95
9606.ENSP00000235521,447,Q9UGM6
9606.ENSP00000235628,448,Q9BXI3
9606.ENSP00000235835,449,O43488
9606.ENSP00000236040,450,Q32P28
9606.ENSP00000236192,451,O75379
9606.ENSP00000236273,452,O95926
9606.ENSP00000236671,453,P07339
9606.ENSP00000236709,454,Q9UNA3
9606.ENSP00000236826,455,P22894
9606.ENSP00000236850,456,P02647
9606.ENSP00000236959,457,P31939
9606.ENSP00000237201,458,Q9HBV2
9606.ENSP00000237264,459,P62380
9606.ENSP00000237283,460,Q7Z6V5
9606.ENSP00000237380,461,Q9H204
9606.ENSP00000237530,462,P04844
9606.ENSP00000237596,463,Q13563
9606.ENSP00000237837,464,Q9GZV9
9606.ENSP00000237853,465,O00472
9606.ENSP00000238018,466,Q9Y2T3
9606.ENSP00000238156,467,Q53HC0
9606.ENSP00000238379,468,Q9BSH5
9606.ENSP00000238497,469,O75351
9606.ENSP00000238682,470,P10600
9606.ENSP00000238714,471,Q9BWT3
9606.ENSP00000238721,472,Q53FA7
9606.ENSP00000238738,473,P17081
9606.ENSP00000238892,474,Q9P021
9606.ENSP00000239231,475,Q9H999
9606.ENSP00000239243,476,P35548
9606.ENSP00000239316,477,Q14641
9606.ENSP00000239347,478,P01567
9606.ENSP00000239461,479,P54821
9606.ENSP00000239666,480,Q5EBL8
9606.ENSP00000239940,481,P35080
9606.ENSP00000240100,482,Q13115
9606.ENSP00000240123,483,O60504
9606.ENSP00000240185,484,Q13148
9606.ENSP00000240285,485,Q8IZV5
9606.ENSP00000240618,486,P26718
9606.ENSP00000240652,487,P10997
9606.ENSP00000240922,488,Q9GZZ1
9606.ENSP00000241052,489,P04040
9606.ENSP00000241261,490,P50591
9606.ENSP00000241416,491,P27037
9606.ENSP00000241453,492,P36888
9606.ENSP00000242208,493,P08476
9606.ENSP00000242249,494,O60896
9606.ENSP00000242257,495,Q9UI43
9606.ENSP00000242285,496,P09496
9606.ENSP00000242375,497,P51857
9606.ENSP00000242462,498,Q9Y4Z2
9606.ENSP00000242465,499,P10124
9606.ENSP00000242576,500,P13051
9606.ENSP00000242592,501,P16219
9606.ENSP00000242729,502,Q14714
9606.ENSP00000242786,503,P48960
9606.ENSP00000243052,504,Q01064
9606.ENSP00000243077,505,Q07954
9606.ENSP00000243189,506,Q9BUV0
9606.ENSP00000243346,507,Q13287
9606.ENSP00000243347,508,P98066
9606.ENSP00000243440,509,Q9NR55
9606.ENSP00000243501,510,Q9BZM1
9606.ENSP00000243563,511,P09012
9606.ENSP00000243578,512,Q9BPU9
9606.ENSP00000243611,513,P20851
9606.ENSP00000243662,514,P57729
9606.ENSP00000243786,515,P05111
9606.ENSP00000243924,516,P19957
9606.ENSP00000243938,517,Q8IUB2
9606.ENSP00000244007,518,P19174
9606.ENSP00000244020,519,Q13247
9606.ENSP00000244040,520,Q9UL26
9606.ENSP00000244051,521,O95396
9606.ENSP00000244061,522,Q9Y508
9606.ENSP00000244096,523,P43363
9606.ENSP00000244217,524,Q96PE7
9606.ENSP00000244241,525,Q9P0M4
9606.ENSP00000244333,526,O95274
9606.ENSP00000244336,527,P31997
9606.ENSP00000244513,528,Q13410
