UniProt,ENSP,source
Q96J02,9606.ENSP00000499786,Ensembl_UniProt
Q96J02,9606.ENSP00000499786,UniProt_AC
Q96J42,9606.ENSP00000351157,Ensembl_HGNC_uniprot_ids
Q96J42,9606.ENSP00000351157,Ensembl_UniProt
Q96J42,9606.ENSP00000351157,UniProt_AC
Q96J84,9606.ENSP00000352138,Ensembl_HGNC_uniprot_ids
Q96J84,9606.ENSP00000352138,Ensembl_UniProt
Q96J84,9606.ENSP00000352138,UniProt_AC
Q96J94,9606.ENSP00000245255,Ensembl_HGNC_uniprot_ids
Q96J94,9606.ENSP00000245255,Ensembl_UniProt
Q96J94,9606.ENSP00000245255,UniProt_AC
Q96JA1,9606.ENSP00000273261,Ensembl_HGNC_uniprot_ids
Q96JA1,9606.ENSP00000273261,Ensembl_UniProt
Q96JA1,9606.ENSP00000273261,UniProt_AC
Q96JB5,9606.ENSP00000438886,Ensembl_HGNC_uniprot_ids
Q96JB5,9606.ENSP00000438886,Ensembl_UniProt
Q96JB5,9606.ENSP00000438886,UniProt_AC
Q96JF0,9606.ENSP00000386942,Ensembl_HGNC_uniprot_ids
Q96JF0,9606.ENSP00000386942,Ensembl_UniProt
Q96JF0,9606.ENSP00000386942,UniProt_AC
Q96JH7,9606.ENSP00000309031,Ensembl_HGNC_uniprot_ids
Q96JH7,9606.ENSP00000309031,Ensembl_UniProt
Q96JH7,9606.ENSP00000309031,UniProt_AC
Q96JJ3,9606.ENSP00000290246,Ensembl_HGNC_uniprot_ids
Q96JJ3,9606.ENSP00000290246,Ensembl_UniProt
Q96JJ3,9606.ENSP00000290246,UniProt_AC
Q96JJ6,9606.ENSP00000380307,Ensembl_HGNC_uniprot_ids
Q96JJ6,9606.ENSP00000380307,Ensembl_UniProt
Q96JJ6,9606.ENSP00000380307,UniProt_AC
Q96JJ7,9606.ENSP00000299608,Ensembl_HGNC_uniprot_ids
Q96JJ7,9606.ENSP00000299608,Ensembl_UniProt
Q96JJ7,9606.ENSP00000299608,UniProt_AC
Q96JK2,9606.ENSP00000341351,Ensembl_HGNC_uniprot_ids
Q96JK2,9606.ENSP00000341351,Ensembl_UniProt
Q96JK2,9606.ENSP00000341351,UniProt_AC
Q96JN8,9606.ENSP00000382390,Ensembl_HGNC_uniprot_ids
Q96JN8,9606.ENSP00000382390,Ensembl_UniProt
Q96JN8,9606.ENSP00000382390,UniProt_AC
Q96JP5,9606.ENSP00000339030,Ensembl_HGNC_uniprot_ids
Q96JP5,9606.ENSP00000339030,Ensembl_UniProt
Q96JP5,9606.ENSP00000339030,UniProt_AC
Q96JP9,9606.ENSP00000485478,Ensembl_HGNC_uniprot_ids
Q96JP9,9606.ENSP00000485478,Ensembl_UniProt
Q96JP9,9606.ENSP00000485478,UniProt_AC
Q96JW4,9606.ENSP00000258538,Ensembl_HGNC_uniprot_ids
Q96JW4,9606.ENSP00000258538,Ensembl_UniProt
Q96JW4,9606.ENSP00000258538,UniProt_AC
Q96JX3,9606.ENSP00000496731,Ensembl_HGNC_uniprot_ids
Q96JX3,9606.ENSP00000496731,Ensembl_UniProt
Q96JX3,9606.ENSP00000496731,UniProt_AC
Q96JZ2,9606.ENSP00000482604,Ensembl_HGNC_uniprot_ids
Q96JZ2,9606.ENSP00000482604,Ensembl_UniProt
Q96JZ2,9606.ENSP00000482604,UniProt_AC
Q96K49,9606.ENSP00000283206,Ensembl_HGNC_uniprot_ids
Q96K49,9606.ENSP00000283206,Ensembl_UniProt
