,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
PDGFA,0.010497328,0.72584856,-0.027502254,0.47794905,-0.03683139,0.5768229,0.029441275,0.4844437
ADAMTS15,0.004089006,-3.467234,0.08435666,-3.0478265,-0.14874218,0.34938055,0.07946237,0.116499096
PRSS22,0.034424767,2.2115712,-0.021722473,1.8313794,0.0021878534,0.5822556,0.023275517,0.51666087
BST1,0.0142478105,2.896757,-0.014710551,2.6960428,0.010001882,0.6095082,-0.00014499086,0.49705905
CBX5,0.013281012,2.9905982,-0.011249876,2.8145776,0.011425703,0.6136787,-0.004164108,0.4927566
CDON,0.038527325,-4.2870483,0.074500896,-4.3242636,-0.15225896,0.34016106,0.1327576,0.1978266
CLU,0.11545878,1.5833905,-0.16272022,-1.1077495,-0.2378889,0.80495894,0.34488863,1.0084442
COL23A1,0.06064795,0.37879175,-0.01222441,-0.20436317,-0.029910654,0.52766424,0.068601646,0.4877608
DNAJC19,0.014745301,2.784454,-0.014192246,2.5927236,0.007729361,0.60520554,0.00091213663,0.49170595
ADGRE2,0.09058496,-4.595597,0.033566497,-5.1060853,-0.14424707,0.30054674,0.1644114,0.30042225
FUT3,0.013059192,2.798384,-0.008456236,2.6458588,0.007272068,0.6060902,-0.0020899756,0.48069417
FUT5,0.013107393,2.7197053,-0.0072614024,2.5752232,0.005619228,0.6029893,-0.0010737751,0.47604683
ADGRG5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HDGFL2,0.011736486,1.7737267,-0.015934343,1.6059892,-0.01219562,0.57150245,0.018743606,0.46357292
IL34,0.053502515,0.8141314,-0.05122943,0.22272044,-0.025301479,0.5315674,0.073061116,0.5318716
KIRREL3,0.017129548,2.1117158,-0.018841874,1.9251308,-0.0061482927,0.58384037,0.01658311,0.4748171
KYNU,0.023508228,2.2260547,-0.023745213,1.9386692,-0.001619434,0.5877597,0.018391281,0.5000094
PLCG1,0.011572978,1.8076029,-0.016203515,1.6326578,-0.012646952,0.6002949,0.010599704,0.48520598
PLXNC1,0.038554087,0.054860115,-0.04833233,-0.409769,-0.04440113,0.5229647,0.06639651,0.50665283
RSPO2,0.010802068,1.3153559,-0.020948414,1.0560205,-0.021546382,0.60945845,0.012739074,0.51555604
SH2D1A,0.020431824,1.511229,-0.031061929,1.3052444,-0.018256523,0.55821216,0.02553334,0.46705562
SLITRK5,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SORCS2,0.010840136,0.93204236,-0.046040926,0.7153699,-0.029004835,0.560706,0.02971669,0.49008948
PPY,0.016096946,0.6199195,-0.028436687,0.46781084,-0.04840467,0.5426849,0.043182354,0.4340894
ADCYAP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HIBADH,0.012643115,2.7472105,-0.021257177,2.5405354,0.006815713,0.6070243,0.0017840611,0.50098515
FABP3,0.053276286,0.8825467,-0.05211256,0.18176258,-0.03978258,0.548745,0.09194726,0.5449553
CSF2,0.022933666,1.6342942,-0.033834536,1.4189755,-0.013822065,0.57363176,0.02084494,0.48049855
LTA,0.041145,1.3109714,-0.035601545,0.86848843,-0.057329897,0.6264752,0.059119105,0.51833475
EPB41,0.010070549,2.8955104,-0.010784691,2.766906,0.008470297,0.60959285,-0.006560062,0.4802654
HSD17B1,0.011285065,2.787079,-0.016174078,2.605503,0.006836295,0.61087596,-0.002403959,0.49562424
APOD,0.062770426,-0.04968646,-0.0676432,-1.0840387,-0.08993543,0.56159365,0.1589206,0.58566594
IL3,0.030209646,0.74535364,-0.029015075,0.38570288,-0.0425943,0.5622013,0.05349946,0.48552713
PPIB,0.018253492,1.5413698,-0.012835706,1.5306053,-0.018532235,0.6176324,0.0029932936,0.4470184
PDIA3,0.022260051,2.123987,-0.018900922,1.9283304,-0.028361157,0.65095186,0.013504168,0.49146023
TFF3,0.057624392,0.032839686,-0.10679753,-0.7165126,-0.040942043,0.49298918,0.089352116,0.5767053
OLFM4,0.02350593,0.07126808,-0.063196555,-0.26897925,-0.05177709,0.5283834,0.044903047,0.49647528
SERPINA6,0.018447142,1.6240479,-0.026832454,1.3705771,-0.014536859,0.5664594,0.031520892,0.48460522
LPO,0.027062599,0.9318338,-0.019609947,0.6631328,-0.02868494,0.5362501,0.04335829,0.4583524
COL8A1,0.026482772,2.1019604,-0.013128605,1.8146727,-0.002764708,0.5797654,0.019691996,0.4896345
ITIH4,0.009890359,-0.22043124,-0.014285319,-0.18172914,-0.06636864,0.53727126,0.05776592,0.3753666
SFN,0.0055338293,1.790857,-0.01142188,1.6906135,-0.01581977,0.59693456,0.0062205484,0.46235225
SELL,0.02355245,0.7634345,-0.0073891873,0.7937025,-0.033525005,0.5856439,0.02536973,0.39679542
TNFRSF10A,0.032592595,1.049683,-0.050747477,0.6657374,-0.025262691,0.5428165,0.045913268,0.50433177
EPHA2,0.024478829,1.4074385,-0.017477956,1.1494781,-0.019435186,0.56164104,0.029701438,0.47385997
CSF3,0.03842158,0.9032954,-0.029369857,0.49697816,-0.02593381,0.5350374,0.05236557,0.48634338
GPC3,0.01430352,1.5339676,-0.041338477,1.2363958,-0.019787353,0.57625794,0.034870267,0.50949585
IL1A,0.017964035,1.4205083,-0.027446508,1.2193162,-0.019146003,0.57105845,0.026675615,0.47476324
