Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHI3L1,Chitinase-3-like protein 1,50388,642,1.18 [1.09-1.28],5.76E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHIT1,Chitotriosidase-1,51736,665,1.01 [0.97-1.06],0.554734922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHL1,Neural cell adhesion molecule L1-like protein,51645,664,1.30 [1.04-1.61],0.02084318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHM,Rab proteins geranylgeranyltransferase component A 1,43561,559,0.82 [0.71-0.94],0.00486777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHMP1A,Charged multivesicular body protein 1a,51120,649,0.98 [0.90-1.07],0.620771029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHMP6,Charged multivesicular body protein 6,44786,575,0.88 [0.76-1.02],0.088352345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHP1,Calcineurin B homologous protein 1,43345,561,0.97 [0.87-1.09],0.637953485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHRDL1,Chordin-like protein 1,51658,663,1.16 [0.93-1.44],0.194270635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHRDL2,Chordin-like protein 2,51520,659,1.19 [1.03-1.37],0.018020869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CHRM1,Muscarinic acetylcholine receptor M1,43561,559,0.95 [0.76-1.19],0.645001662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CIAPIN1,Anamorsin,51678,662,1.00 [0.89-1.11],0.948108841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CILP,Cartilage intermediate layer protein 1,44792,582,0.99 [0.85-1.14],0.870739778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CINP,Cyclin-dependent kinase 2-interacting protein,43973,571,0.93 [0.77-1.12],0.444420291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CIRBP,Cold-inducible RNA-binding protein,44598,575,0.94 [0.86-1.02],0.124554279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CIT,Citron Rho-interacting kinase,43561,559,0.87 [0.73-1.05],0.148788107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CKAP4,Cytoskeleton-associated protein 4,51831,658,1.29 [1.02-1.63],0.03291127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CKB,Creatine kinase B-type,44792,582,1.28 [1.12-1.47],0.000272282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CKMT1A_CKMT1B,"Creatine kinase U-type, mitochondrial",51320,658,1.06 [0.96-1.18],0.255346836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLASP1,CLIP-associating protein 1,43188,552,0.90 [0.80-1.01],0.084535046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLC,Galectin-10,51442,659,1.05 [0.95-1.16],0.375120313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC10A,C-type lectin domain family 10 member A,51120,649,0.96 [0.79-1.16],0.677963642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC11A,C-type lectin domain family 11 member A,51448,658,0.98 [0.85-1.13],0.823824705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC12A,C-type lectin domain family 12 member A,43494,565,1.54 [1.08-2.22],0.018093214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC14A,C-type lectin domain family 14 member A,51533,659,1.15 [0.94-1.42],0.182534634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC1A,C-type lectin domain family 1 member A,50576,656,1.09 [0.89-1.33],0.423320583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC1B,C-type lectin domain family 1 member B,51972,664,0.99 [0.93-1.07],0.8866714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC2L,C-type lectin domain family 2 member L,43561,559,0.84 [0.70-1.01],0.060469473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC3B,Tetranectin,43807,566,0.58 [0.39-0.85],0.005600825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC4A,C-type lectin domain family 4 member A,51445,655,1.25 [1.02-1.53],0.030599737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC4C,C-type lectin domain family 4 member C,51445,655,1.01 [0.87-1.16],0.910056302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC4D,C-type lectin domain family 4 member D,51445,655,1.07 [0.96-1.20],0.201442654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC4G,C-type lectin domain family 4 member G,51445,655,0.98 [0.79-1.20],0.829640807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC4M,C-type lectin domain family 4 member M,44715,581,0.85 [0.72-1.00],0.052260293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC5A,C-type lectin domain family 5 member A,51352,656,1.55 [1.24-1.93],0.000115749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC6A,C-type lectin domain family 6 member A,50307,647,1.10 [0.95-1.27],0.218054441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLEC7A,C-type lectin domain family 7 member A,52083,662,1.07 [0.94-1.20],0.303056999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLGN,Calmegin,43561,559,0.94 [0.78-1.13],0.520032738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLIC5,Chloride intracellular channel protein 5,43561,559,0.97 [0.75-1.26],0.825833449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLINT1,Clathrin interactor 1,43188,552,0.92 [0.76-1.11],0.396394511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLIP2,CAP-Gly domain-containing linker protein 2,51445,655,1.01 [0.95-1.07],0.82380799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLMP,CXADR-like membrane protein,51958,666,1.27 [0.93-1.75],0.133143586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLNS1A,Methylosome subunit pICln,43561,559,0.97 [0.76-1.24],0.822901016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",51035,648,0.98 [0.91-1.06],0.685432023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLPS,Colipase,51448,658,1.04 [0.95-1.15],0.397467888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLSPN,Claspin,50228,640,1.01 [0.82-1.23],0.936862917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLSTN1,Calsyntenin-1,50313,641,1.06 [0.93-1.20],0.400313722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLSTN2,Calsyntenin-2,52083,662,1.17 [0.99-1.38],0.074054903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLSTN3,Calsyntenin-3,44681,576,0.85 [0.65-1.11],0.240853005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLTA,Clathrin light chain A,50576,656,0.98 [0.84-1.14],0.776496795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLU,Clusterin,44858,579,1.09 [0.85-1.38],0.500344912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CLUL1,Clusterin-like protein 1,51436,657,0.94 [0.80-1.09],0.406201342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CMC1,COX assembly mitochondrial protein homolog,44786,575,0.94 [0.86-1.03],0.173819909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CMIP,C-Maf-inducing protein,44579,573,0.92 [0.84-1.02],0.098851176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNDP1,Beta-Ala-His dipeptidase,51726,664,0.83 [0.72-0.96],0.011603274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNGB3,Cyclic nucleotide-gated cation channel beta-3,43345,561,0.93 [0.79-1.09],0.377160905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",43518,559,0.92 [0.83-1.02],0.11261159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNPY2,Protein canopy homolog 2,50576,656,1.07 [0.97-1.19],0.179381969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNPY4,Protein canopy homolog 4,51282,658,0.97 [0.89-1.07],0.543651869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNST,Consortin,51520,659,0.98 [0.92-1.04],0.469640967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTF,Ciliary neurotrophic factor,43345,561,1.05 [0.82-1.33],0.714241536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTN1,Contactin-1,52156,670,1.27 [0.99-1.63],0.056790407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTN2,Contactin-2,51958,666,0.99 [0.85-1.15],0.867626447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTN3,Contactin-3,51533,659,0.99 [0.80-1.23],0.922341265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTN4,Contactin-4,51533,659,1.18 [0.88-1.57],0.260531923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTN5,Contactin-5,51645,660,0.81 [0.67-0.97],0.023326624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTNAP2,Contactin-associated protein-like 2,51445,655,1.12 [0.94-1.32],0.196038313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,CNTNAP4,Contactin-associated protein-like 4,43561,559,0.97 [0.90-1.05],0.490465384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COCH,Cochlin,44786,575,0.83 [0.70-0.99],0.041902109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL15A1,Collagen alpha-1(XV) chain,44792,582,0.98 [0.73-1.31],0.87710442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL18A1,Collagen alpha-1(XVIII) chain,51736,665,1.36 [1.02-1.82],0.035877688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL1A1,Collagen alpha-1(I) chain,52156,670,1.06 [0.81-1.39],0.668559112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL24A1,Collagen alpha-1(XXIV) chain,44598,575,1.05 [0.91-1.21],0.521273245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL28A1,Collagen alpha-1(XXVIII) chain,43561,559,1.00 [0.90-1.11],0.964416374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL2A1,Collagen alpha-1(II) chain,43598,560,1.00 [0.90-1.10],0.94677493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL3A1,Collagen alpha-1(III) chain,44792,582,1.31 [0.94-1.83],0.112744808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL4A1,Collagen alpha-1(IV) chain,51520,659,1.20 [1.01-1.43],0.041125399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL4A4,Collagen alpha-4(IV) chain,43901,571,1.00 [0.86-1.17],0.96877249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL5A1,Collagen alpha-1(V) chain,43810,566,1.03 [0.84-1.26],0.774501723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL6A3,Collagen alpha-3(VI) chain,52156,670,1.23 [1.02-1.48],0.029190033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL9A1,Collagen alpha-1(IX) chain,51445,655,1.03 [0.90-1.19],0.653270576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COL9A2,Collagen alpha-2(IX) chain,43973,571,1.07 [0.90-1.27],0.436801057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COLEC12,Collectin-12,51488,659,1.11 [0.86-1.43],0.436412335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COMMD1,COMM domain-containing protein 1,43598,560,0.93 [0.81-1.06],0.284972812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COMMD9,COMM domain-containing protein 9,44579,573,0.94 [0.77-1.16],0.579323213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,COMP,Cartilage oligomeric matrix protein,50975,653,1.04 [0.84-1.28],0.720951753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
