Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,TIMP1,Metalloproteinase inhibitor 1,50966,656,1.19 [0.93-1.51],0.166274311,Chapter VI Diseases of the nervous system,Parkinson's disease,Metalloproteinase inhibitor 1,50921,855,0.85 [0.69-1.06],0.154176819
Chapter VI Diseases of the nervous system,Alzheimer disease,TIMP2,Metalloproteinase inhibitor 2,44786,575,1.25 [0.99-1.58],0.058966999,Chapter VI Diseases of the nervous system,Parkinson's disease,Metalloproteinase inhibitor 2,44742,423,0.78 [0.52-1.17],0.223798306
Chapter VI Diseases of the nervous system,Alzheimer disease,TIMP3,Metalloproteinase inhibitor 3,51742,665,1.00 [0.95-1.05],0.998701478,Chapter VI Diseases of the nervous system,Parkinson's disease,Metalloproteinase inhibitor 3,51696,854,1.00 [0.96-1.05],0.849226959
Chapter VI Diseases of the nervous system,Alzheimer disease,TIMP4,Metalloproteinase inhibitor 4,51533,659,1.29 [1.10-1.52],0.001561179,Chapter VI Diseases of the nervous system,Parkinson's disease,Metalloproteinase inhibitor 4,51486,848,1.23 [1.07-1.42],0.004824491
Chapter VI Diseases of the nervous system,Alzheimer disease,TINAGL1,Tubulointerstitial nephritis antigen-like,51359,657,1.74 [1.27-2.37],0.000487544,Chapter VI Diseases of the nervous system,Parkinson's disease,Tubulointerstitial nephritis antigen-like,51315,847,1.09 [0.83-1.44],0.521158263
Chapter VI Diseases of the nervous system,Alzheimer disease,TJAP1,Tight junction-associated protein 1,51678,662,0.96 [0.88-1.05],0.354282001,Chapter VI Diseases of the nervous system,Parkinson's disease,Tight junction-associated protein 1,51632,850,1.00 [0.93-1.07],0.964463988
Chapter VI Diseases of the nervous system,Alzheimer disease,TJP3,Tight junction protein ZO-3,43345,561,0.86 [0.70-1.06],0.152688894,Chapter VI Diseases of the nervous system,Parkinson's disease,Tight junction protein ZO-3,43303,408,0.77 [0.60-0.99],0.04316758
Chapter VI Diseases of the nervous system,Alzheimer disease,TK1,"Thymidine kinase, cytosolic",43973,571,0.90 [0.74-1.09],0.267615514,Chapter VI Diseases of the nervous system,Parkinson's disease,"Thymidine kinase, cytosolic",43931,414,1.22 [1.01-1.46],0.037823542
Chapter VI Diseases of the nervous system,Alzheimer disease,TLR1,Toll-like receptor 1,43494,565,1.36 [1.02-1.81],0.03481282,Chapter VI Diseases of the nervous system,Parkinson's disease,Toll-like receptor 1,43449,414,1.13 [0.80-1.60],0.488334272
Chapter VI Diseases of the nervous system,Alzheimer disease,TLR2,Toll-like receptor 2,43973,571,1.12 [0.79-1.57],0.534310644,Chapter VI Diseases of the nervous system,Parkinson's disease,Toll-like receptor 2,43931,414,0.87 [0.58-1.30],0.492005614
Chapter VI Diseases of the nervous system,Alzheimer disease,TLR3,Toll-like receptor 3,52083,662,0.91 [0.81-1.02],0.09292852,Chapter VI Diseases of the nervous system,Parkinson's disease,Toll-like receptor 3,52037,862,0.97 [0.88-1.07],0.574453011
Chapter VI Diseases of the nervous system,Alzheimer disease,TLR4,Toll-like receptor 4,43494,565,1.30 [0.99-1.70],0.05741921,Chapter VI Diseases of the nervous system,Parkinson's disease,Toll-like receptor 4,43449,414,0.98 [0.70-1.37],0.91329648
Chapter VI Diseases of the nervous system,Alzheimer disease,TMCO5A,Transmembrane and coiled-coil domain-containing protein 5A,43561,559,0.81 [0.68-0.95],0.009558842,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane and coiled-coil domain-containing protein 5A,43517,414,0.94 [0.78-1.12],0.489432816
Chapter VI Diseases of the nervous system,Alzheimer disease,TMED1,Transmembrane emp24 domain-containing protein 1,43973,571,0.92 [0.79-1.07],0.299866533,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane emp24 domain-containing protein 1,43931,414,1.17 [1.01-1.36],0.04264503
Chapter VI Diseases of the nervous system,Alzheimer disease,TMED10,Transmembrane emp24 domain-containing protein 10,43319,555,0.99 [0.83-1.18],0.912534121,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane emp24 domain-containing protein 10,43276,405,0.85 [0.66-1.08],0.188957919
Chapter VI Diseases of the nervous system,Alzheimer disease,TMED4,Transmembrane emp24 domain-containing protein 4,43319,555,0.96 [0.83-1.11],0.599077431,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane emp24 domain-containing protein 4,43276,405,1.10 [0.94-1.27],0.234799713
Chapter VI Diseases of the nervous system,Alzheimer disease,TMED8,Protein TMED8,44598,575,0.96 [0.89-1.04],0.320987411,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein TMED8,44554,423,0.96 [0.88-1.05],0.404548321
Chapter VI Diseases of the nervous system,Alzheimer disease,TMEM106A,Transmembrane protein 106A,44579,573,0.94 [0.84-1.06],0.293984603,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protein 106A,44535,422,1.01 [0.89-1.15],0.858632144
Chapter VI Diseases of the nervous system,Alzheimer disease,TMEM132A,Transmembrane protein 132A,43598,560,1.13 [1.00-1.28],0.05929723,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protein 132A,43557,401,0.98 [0.84-1.14],0.781098045
Chapter VI Diseases of the nervous system,Alzheimer disease,TMEM25,Transmembrane protein 25,44708,575,1.01 [0.85-1.20],0.928551947,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protein 25,44664,422,1.12 [0.93-1.35],0.219170246
Chapter VI Diseases of the nervous system,Alzheimer disease,TMOD4,Tropomodulin-4,43188,552,1.11 [0.91-1.36],0.28963839,Chapter VI Diseases of the nervous system,Parkinson's disease,Tropomodulin-4,43143,402,1.08 [0.85-1.37],0.524958529
Chapter VI Diseases of the nervous system,Alzheimer disease,TMPRSS11B,Transmembrane protease serine 11B,43345,561,1.02 [0.92-1.13],0.724632739,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protease serine 11B,43303,408,1.11 [1.00-1.24],0.057868487
Chapter VI Diseases of the nervous system,Alzheimer disease,TMPRSS11D,Transmembrane protease serine 11D,44596,576,0.96 [0.78-1.17],0.684572616,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protease serine 11D,44552,419,0.93 [0.73-1.19],0.563075842
Chapter VI Diseases of the nervous system,Alzheimer disease,TMPRSS15,Enteropeptidase,51282,658,1.03 [0.96-1.11],0.421774171,Chapter VI Diseases of the nervous system,Parkinson's disease,Enteropeptidase,51237,847,0.95 [0.89-1.02],0.167885485
Chapter VI Diseases of the nervous system,Alzheimer disease,TMPRSS5,Transmembrane protease serine 5,50874,646,0.89 [0.75-1.07],0.227755378,Chapter VI Diseases of the nervous system,Parkinson's disease,Transmembrane protease serine 5,50827,836,1.15 [0.98-1.35],0.08248222
Chapter VI Diseases of the nervous system,Alzheimer disease,TMSB10,Thymosin beta-10,51533,659,0.98 [0.90-1.08],0.735861283,Chapter VI Diseases of the nervous system,Parkinson's disease,Thymosin beta-10,51486,848,0.94 [0.86-1.02],0.133734954
Chapter VI Diseases of the nervous system,Alzheimer disease,TNC,Tenascin,51726,664,1.20 [1.05-1.39],0.009066071,Chapter VI Diseases of the nervous system,Parkinson's disease,Tenascin,51681,860,0.98 [0.86-1.11],0.734755213
Chapter VI Diseases of the nervous system,Alzheimer disease,TNF,Tumor necrosis factor,50498,655,0.98 [0.81-1.18],0.819202693,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor,50454,840,1.00 [0.85-1.18],0.986939978
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,44598,575,0.96 [0.80-1.14],0.605908081,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor alpha-induced protein 2,44554,423,0.78 [0.63-0.96],0.019934549
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,50550,645,0.88 [0.73-1.07],0.206184084,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor alpha-induced protein 8,50504,835,0.93 [0.79-1.11],0.430153814
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,43810,566,0.91 [0.80-1.04],0.157530742,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor alpha-induced protein 8-like protein 2,43766,407,0.90 [0.77-1.05],0.189725858
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,51120,649,1.29 [1.07-1.55],0.008934364,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 10A,51073,838,0.78 [0.64-0.94],0.00978882
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,51120,649,1.10 [0.95-1.28],0.202173173,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 10B,51073,838,1.03 [0.89-1.19],0.726593111
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,51651,659,1.15 [1.00-1.32],0.055893417,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 10C,51607,858,1.04 [0.92-1.17],0.562512877
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,52083,662,1.04 [0.87-1.23],0.671544791,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 11A,52037,862,1.08 [0.93-1.25],0.334836534
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,51488,659,1.38 [1.09-1.74],0.007168775,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 11B,51442,852,0.81 [0.66-1.01],0.057914756
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,51678,662,1.22 [1.01-1.48],0.039891116,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 12A,51632,850,1.08 [0.92-1.28],0.343884121
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,51573,661,0.95 [0.77-1.16],0.595366941,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 13B,51527,852,0.77 [0.64-0.93],0.005873573
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,50550,645,1.01 [0.86-1.20],0.864665478,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 13C,50504,835,0.83 [0.72-0.96],0.013848557
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,51573,661,1.13 [0.91-1.42],0.268687127,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 14,51527,852,0.99 [0.82-1.21],0.947295458
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,43810,566,0.87 [0.72-1.05],0.15653347,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 17,43766,407,0.96 [0.77-1.21],0.758332869
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,51958,666,1.13 [0.92-1.38],0.258910731,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 19,51912,855,0.92 [0.76-1.11],0.379476091
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,51533,659,1.25 [1.01-1.56],0.041622484,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 1A,51486,848,0.96 [0.78-1.17],0.660133775
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,51533,659,1.21 [1.03-1.43],0.024358162,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 1B,51486,848,0.97 [0.82-1.15],0.714525727
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,51972,664,1.13 [0.89-1.44],0.324478796,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 21,51926,855,0.76 [0.61-0.94],0.012747919
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,51998,661,1.17 [0.98-1.39],0.0792985,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 4,51952,862,0.94 [0.80-1.10],0.408089458
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,51120,649,1.21 [1.08-1.36],0.000972687,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 6B,51073,838,0.97 [0.87-1.08],0.584499935
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,51972,664,1.14 [0.98-1.32],0.091610586,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 8,51926,855,0.99 [0.87-1.14],0.927842888
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,51120,649,1.07 [0.91-1.25],0.436435865,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor receptor superfamily member 9,51073,838,0.96 [0.83-1.11],0.55280486
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF10,Tumor necrosis factor ligand superfamily member 10,52083,662,0.55 [0.42-0.72],1.22e-05,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 10,52037,862,0.71 [0.56-0.90],0.004168586
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF11,Tumor necrosis factor ligand superfamily member 11,51445,655,0.80 [0.72-0.90],0.000215566,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 11,51399,849,0.84 [0.76-0.92],0.00047133
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF12,Tumor necrosis factor ligand superfamily member 12,52083,662,0.97 [0.76-1.24],0.818502286,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 12,52037,862,0.90 [0.73-1.11],0.328069686
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF13,Tumor necrosis factor ligand superfamily member 13,51742,665,1.28 [1.00-1.65],0.051670769,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 13,51696,854,1.10 [0.88-1.37],0.403230043
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,52071,668,1.09 [0.85-1.38],0.50418663,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 13B,52027,859,0.86 [0.69-1.07],0.173128397
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF14,Tumor necrosis factor ligand superfamily member 14,51120,649,0.98 [0.87-1.11],0.772854613,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 14,51073,838,0.99 [0.89-1.10],0.800544887
Chapter VI Diseases of the nervous system,Alzheimer disease,TNFSF8,Tumor necrosis factor ligand superfamily member 8,44792,582,1.27 [1.02-1.57],0.031008001,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor necrosis factor ligand superfamily member 8,44748,420,1.00 [0.77-1.29],0.977698919
Chapter VI Diseases of the nervous system,Alzheimer disease,TNIP1,TNFAIP3-interacting protein 1,44681,576,0.88 [0.80-0.96],0.005471154,Chapter VI Diseases of the nervous system,Parkinson's disease,TNFAIP3-interacting protein 1,44637,419,0.89 [0.80-0.99],0.037978668
Chapter VI Diseases of the nervous system,Alzheimer disease,TNN,Tenascin-N,44792,582,0.99 [0.83-1.19],0.90839215,Chapter VI Diseases of the nervous system,Parkinson's disease,Tenascin-N,44748,420,0.95 [0.77-1.18],0.656767032
Chapter VI Diseases of the nervous system,Alzheimer disease,TNNI3,"Troponin I, cardiac muscle",50576,656,1.06 [0.97-1.15],0.183271123,Chapter VI Diseases of the nervous system,Parkinson's disease,"Troponin I, cardiac muscle",50532,843,1.07 [0.99-1.15],0.077273993
Chapter VI Diseases of the nervous system,Alzheimer disease,TNPO1,Transportin-1,43973,571,1.04 [0.83-1.31],0.742004192,Chapter VI Diseases of the nervous system,Parkinson's disease,Transportin-1,43931,414,1.05 [0.80-1.37],0.732106347
Chapter VI Diseases of the nervous system,Alzheimer disease,TNR,Tenascin-R,51120,649,0.89 [0.76-1.05],0.16665712,Chapter VI Diseases of the nervous system,Parkinson's disease,Tenascin-R,51073,838,0.85 [0.73-0.98],0.024458224
Chapter VI Diseases of the nervous system,Alzheimer disease,TNXB,Tenascin-X,51533,659,0.92 [0.70-1.20],0.530563055,Chapter VI Diseases of the nervous system,Parkinson's disease,Tenascin-X,51486,848,0.47 [0.39-0.58],1.31e-13
Chapter VI Diseases of the nervous system,Alzheimer disease,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,44786,575,0.91 [0.82-1.02],0.093138779,Chapter VI Diseases of the nervous system,Parkinson's disease,Mitochondrial import receptor subunit TOM20 homolog,44742,423,0.89 [0.78-1.00],0.057688564
Chapter VI Diseases of the nervous system,Alzheimer disease,TOP1,DNA topoisomerase 1,44598,575,1.09 [1.01-1.17],0.025208059,Chapter VI Diseases of the nervous system,Parkinson's disease,DNA topoisomerase 1,44554,423,1.01 [0.93-1.10],0.767805115
Chapter VI Diseases of the nervous system,Alzheimer disease,TOP1MT,"DNA topoisomerase I, mitochondrial",43188,552,1.07 [0.91-1.25],0.40996574,Chapter VI Diseases of the nervous system,Parkinson's disease,"DNA topoisomerase I, mitochondrial",43143,402,0.98 [0.81-1.20],0.880814045
Chapter VI Diseases of the nervous system,Alzheimer disease,TOP2B,DNA topoisomerase 2-beta,43494,565,1.00 [0.90-1.11],0.970438386,Chapter VI Diseases of the nervous system,Parkinson's disease,DNA topoisomerase 2-beta,43449,414,0.93 [0.82-1.05],0.222704294
Chapter VI Diseases of the nervous system,Alzheimer disease,TOR1AIP1,Torsin-1A-interacting protein 1,43598,560,1.01 [0.87-1.18],0.890661841,Chapter VI Diseases of the nervous system,Parkinson's disease,Torsin-1A-interacting protein 1,43557,401,1.04 [0.87-1.24],0.649242085
Chapter VI Diseases of the nervous system,Alzheimer disease,TP53,Cellular tumor antigen p53,50307,647,1.02 [0.86-1.20],0.850245905,Chapter VI Diseases of the nervous system,Parkinson's disease,Cellular tumor antigen p53,50261,834,0.86 [0.75-1.00],0.043761036
Chapter VI Diseases of the nervous system,Alzheimer disease,TP53BP1,TP53-binding protein 1,43494,565,0.99 [0.90-1.09],0.848459573,Chapter VI Diseases of the nervous system,Parkinson's disease,TP53-binding protein 1,43449,414,1.14 [1.03-1.27],0.011667836
Chapter VI Diseases of the nervous system,Alzheimer disease,TP53I3,Quinone oxidoreductase PIG3,42857,557,0.98 [0.84-1.15],0.82182832,Chapter VI Diseases of the nervous system,Parkinson's disease,Quinone oxidoreductase PIG3,42814,393,0.90 [0.74-1.08],0.260640269
Chapter VI Diseases of the nervous system,Alzheimer disease,TP53INP1,Tumor protein p53-inducible nuclear protein 1,50576,656,0.85 [0.66-1.09],0.194837465,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor protein p53-inducible nuclear protein 1,50532,843,0.90 [0.73-1.11],0.334231427
Chapter VI Diseases of the nervous system,Alzheimer disease,TP73,Tumor protein p73,43561,559,0.94 [0.74-1.19],0.594794259,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor protein p73,43517,414,0.82 [0.62-1.08],0.161308174
Chapter VI Diseases of the nervous system,Alzheimer disease,TPBGL,Trophoblast glycoprotein-like,43561,559,0.98 [0.81-1.19],0.85990054,Chapter VI Diseases of the nervous system,Parkinson's disease,Trophoblast glycoprotein-like,43517,414,1.27 [1.05-1.54],0.012792711
Chapter VI Diseases of the nervous system,Alzheimer disease,TPD52L2,Tumor protein D54,43810,566,0.95 [0.88-1.02],0.141955252,Chapter VI Diseases of the nervous system,Parkinson's disease,Tumor protein D54,43766,407,0.95 [0.87-1.04],0.285858606
Chapter VI Diseases of the nervous system,Alzheimer disease,TPK1,Thiamin pyrophosphokinase 1,44786,575,0.84 [0.63-1.13],0.25702825,Chapter VI Diseases of the nervous system,Parkinson's disease,Thiamin pyrophosphokinase 1,44742,423,0.42 [0.30-0.59],6.64e-07
Chapter VI Diseases of the nervous system,Alzheimer disease,TPM3,Tropomyosin alpha-3 chain,43319,555,1.08 [0.90-1.30],0.398173761,Chapter VI Diseases of the nervous system,Parkinson's disease,Tropomyosin alpha-3 chain,43276,405,0.91 [0.73-1.14],0.423691183
Chapter VI Diseases of the nervous system,Alzheimer disease,TPMT,Thiopurine S-methyltransferase,50307,647,0.99 [0.90-1.09],0.826432027,Chapter VI Diseases of the nervous system,Parkinson's disease,Thiopurine S-methyltransferase,50261,834,1.08 [1.00-1.17],0.064682252
Chapter VI Diseases of the nervous system,Alzheimer disease,TPP1,Tripeptidyl-peptidase 1,51150,652,0.90 [0.77-1.05],0.18478261,Chapter VI Diseases of the nervous system,Parkinson's disease,Tripeptidyl-peptidase 1,51104,850,1.02 [0.89-1.17],0.768891679
Chapter VI Diseases of the nervous system,Alzheimer disease,TPPP2,Tubulin polymerization-promoting protein family member 2,43973,571,0.93 [0.84-1.04],0.192108544,Chapter VI Diseases of the nervous system,Parkinson's disease,Tubulin polymerization-promoting protein family member 2,43931,414,0.92 [0.81-1.05],0.202807375
Chapter VI Diseases of the nervous system,Alzheimer disease,TPPP3,Tubulin polymerization-promoting protein family member 3,50313,641,1.02 [0.85-1.21],0.845026452,Chapter VI Diseases of the nervous system,Parkinson's disease,Tubulin polymerization-promoting protein family member 3,50268,833,0.65 [0.54-0.78],6.65e-06
Chapter VI Diseases of the nervous system,Alzheimer disease,TPR,Nucleoprotein TPR,43319,555,1.01 [0.86-1.18],0.91903895,Chapter VI Diseases of the nervous system,Parkinson's disease,Nucleoprotein TPR,43276,405,0.89 [0.72-1.10],0.267943038
Chapter VI Diseases of the nervous system,Alzheimer disease,TPRKB,EKC/KEOPS complex subunit TPRKB,43188,552,0.86 [0.75-1.00],0.049149202,Chapter VI Diseases of the nervous system,Parkinson's disease,EKC/KEOPS complex subunit TPRKB,43143,402,0.96 [0.83-1.12],0.640861627
Chapter VI Diseases of the nervous system,Alzheimer disease,TPSAB1,Tryptase alpha/beta-1,51998,662,0.94 [0.83-1.07],0.361923336,Chapter VI Diseases of the nervous system,Parkinson's disease,Tryptase alpha/beta-1,51952,862,0.84 [0.75-0.94],0.002928598
Chapter VI Diseases of the nervous system,Alzheimer disease,TPSD1,Tryptase delta,44708,575,0.89 [0.71-1.10],0.282110522,Chapter VI Diseases of the nervous system,Parkinson's disease,Tryptase delta,44664,422,0.92 [0.71-1.19],0.510307982
Chapter VI Diseases of the nervous system,Alzheimer disease,TPSG1,Tryptase gamma,43494,565,1.12 [0.83-1.51],0.457217709,Chapter VI Diseases of the nervous system,Parkinson's disease,Tryptase gamma,43449,414,1.27 [0.92-1.77],0.150842485
Chapter VI Diseases of the nervous system,Alzheimer disease,TPT1,Translationally-controlled tumor protein,50550,645,1.02 [0.91-1.13],0.776595923,Chapter VI Diseases of the nervous system,Parkinson's disease,Translationally-controlled tumor protein,50504,835,0.93 [0.84-1.03],0.158386899
Chapter VI Diseases of the nervous system,Alzheimer disease,TRAF2,TNF receptor-associated factor 2,51445,655,0.99 [0.90-1.10],0.871589551,Chapter VI Diseases of the nervous system,Parkinson's disease,TNF receptor-associated factor 2,51399,849,1.09 [1.00-1.18],0.058131251
Chapter VI Diseases of the nervous system,Alzheimer disease,TRAF3,"TNF receptor-associated factor 3, Isoform 2",43494,565,0.95 [0.76-1.19],0.661572646,Chapter VI Diseases of the nervous system,Parkinson's disease,"TNF receptor-associated factor 3, Isoform 2",43449,414,1.24 [1.00-1.54],0.047549755
Chapter VI Diseases of the nervous system,Alzheimer disease,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,43319,555,1.06 [0.90-1.25],0.455498235,Chapter VI Diseases of the nervous system,Parkinson's disease,E3 ubiquitin ligase TRAF3IP2,43276,405,0.89 [0.72-1.11],0.313130565
Chapter VI Diseases of the nervous system,Alzheimer disease,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,43973,571,0.95 [0.86-1.04],0.289043107,Chapter VI Diseases of the nervous system,Parkinson's disease,tRNA (cytosine(38)-C(5))-methyltransferase,43931,414,0.94 [0.84-1.05],0.288187854
Chapter VI Diseases of the nervous system,Alzheimer disease,TREH,Trehalase,44792,582,0.98 [0.88-1.09],0.698541053,Chapter VI Diseases of the nervous system,Parkinson's disease,Trehalase,44748,420,0.97 [0.86-1.10],0.67108225
Chapter VI Diseases of the nervous system,Alzheimer disease,TREM2,Triggering receptor expressed on myeloid cells 2,51488,659,0.95 [0.84-1.09],0.479675412,Chapter VI Diseases of the nervous system,Parkinson's disease,Triggering receptor expressed on myeloid cells 2,51442,852,0.95 [0.85-1.07],0.388675276
Chapter VI Diseases of the nervous system,Alzheimer disease,TREML1,Trem-like transcript 1 protein,44826,575,0.93 [0.80-1.08],0.339806253,Chapter VI Diseases of the nervous system,Parkinson's disease,Trem-like transcript 1 protein,44783,424,0.97 [0.81-1.15],0.701337479
Chapter VI Diseases of the nervous system,Alzheimer disease,TREML2,Trem-like transcript 2 protein,51533,659,1.07 [0.87-1.30],0.52784798,Chapter VI Diseases of the nervous system,Parkinson's disease,Trem-like transcript 2 protein,51486,848,0.85 [0.71-1.01],0.06377974
Chapter VI Diseases of the nervous system,Alzheimer disease,TRIAP1,TP53-regulated inhibitor of apoptosis 1,51958,666,1.03 [0.92-1.15],0.64448441,Chapter VI Diseases of the nervous system,Parkinson's disease,TP53-regulated inhibitor of apoptosis 1,51912,855,0.97 [0.88-1.08],0.607250487
Chapter VI Diseases of the nervous system,Alzheimer disease,TRIM21,E3 ubiquitin-protein ligase TRIM21,51445,655,1.07 [0.98-1.17],0.155328395,Chapter VI Diseases of the nervous system,Parkinson's disease,E3 ubiquitin-protein ligase TRIM21,51399,849,0.98 [0.90-1.06],0.577066747
Chapter VI Diseases of the nervous system,Alzheimer disease,TRIM24,Transcription intermediary factor 1-alpha,43889,571,0.94 [0.83-1.07],0.325236568,Chapter VI Diseases of the nervous system,Parkinson's disease,Transcription intermediary factor 1-alpha,43847,414,0.91 [0.78-1.06],0.216180351
Chapter VI Diseases of the nervous system,Alzheimer disease,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,44598,575,0.93 [0.87-1.00],0.067416226,Chapter VI Diseases of the nervous system,Parkinson's disease,E3 ubiquitin/ISG15 ligase TRIM25,44554,423,0.94 [0.86-1.03],0.179097304
Chapter VI Diseases of the nervous system,Alzheimer disease,TRIM26,Tripartite motif-containing protein 26,43188,552,0.95 [0.82-1.10],0.491485091,Chapter VI Diseases of the nervous system,Parkinson's disease,Tripartite motif-containing protein 26,43143,402,1.06 [0.90-1.24],0.48937745
