src,dst,weight,combined_score
38,754,1.0,999.0
38,287,1.0,999.0
38,683,1.0,999.0
38,2119,1.0,999.0
38,2520,1.0,999.0
38,3962,0.998998998998999,998.0
38,921,0.998998998998999,998.0
38,115,0.998998998998999,998.0
38,3932,0.997997997997998,997.0
38,5091,0.997997997997998,997.0
38,4674,0.995995995995996,995.0
38,3461,0.992992992992993,992.0
38,1003,0.988988988988989,988.0
38,124,0.985985985985986,985.0
38,4990,0.983983983983984,983.0
38,3098,0.9819819819819819,981.0
38,1867,0.9819819819819819,981.0
38,823,0.975975975975976,975.0
38,968,0.974974974974975,974.0
39,2236,1.0,999.0
39,2565,0.8958958958958959,895.0
39,3720,0.8528528528528528,852.0
39,1450,0.7687687687687688,768.0
39,3004,0.7377377377377378,737.0
