protein1,protein2
P40763,P17676
P84022,P17676
P01106,P17676
Q9UBK2,P17676
P27361,P17676
Q12778,P17676
P53778,P17676
Q13485,P17676
P05412,P17676
P20248,P39748
P51665,P39748
P12956,P39748
P43405,Q9P1W8
P84022,Q15365
P31943,Q15365
P09012,Q15365
Q15717,Q15365
P67809,Q15365
Q13148,Q15365
Q12846,O14810
O00161,O14810
P23763,O14810
P54920,O14810
Q9BV40,O14810
O95721,O14810
O43752,O14810
P51809,O14810
P78352,Q9NSB8
Q9BYB0,Q9NSB8
P52790,P10253
P52789,P10253
P19367,P10253
P02751,P13497
P12643,P13497
P00747,P13497
P02647,P13497
P02452,P13497
P18075,P13497
P21810,P13497
P98160,P13497
P28482,Q15797
P84022,Q15797
O00238,Q15797
Q13873,Q15797
P27361,Q15797
Q92793,Q15797
P12643,Q15797
Q9UNE7,Q15797
O43752,Q9P2W9
Q9BV40,Q9P2W9
P51809,Q9P2W9
Q12846,Q9P2W9
P56962,Q9P2W9
P21589,Q13740
P16070,Q13740
P05556,Q13740
P28906,Q13740
P21926,Q13740
P17931,Q13740
P05362,Q13740
P16284,Q13740
P00533,Q13740
P06744,P07205
P14618,P07205
P30613,P07205
P08237,P07205
P37837,P07205
P29401,P07205
P09972,P07205
Q9Y6K9,P18085
P84077,P18085
P62820,P18085
P00747,P02675
P02751,P02675
P04275,P02675
P02768,P02675
P01042,P02675
P02652,P02675
P01023,P02675
P04114,P02675
O95249,Q9NUU7
P01730,P16871
P05112,P16871
P01732,P16871
P51692,P16871
P42229,P16871
P01579,P16871
P22301,P16871
P05231,P16871
O60674,P16871
P35225,P16871
P67809,Q9GZV1
O75581,P58335
P04275,P58335
Q9UHD9,Q8N4V1
O60885,Q6NUJ5
O43524,P61981
Q12778,P61981
P04637,P61981
O95168,O75347
P23193,Q9BUK0
P37840,O15354
Q9UNE7,O15354
P10145,O15354
P05412,P10145
P01375,P10145
P13501,P10145
P39748,O15527
P00491,O15527
P43246,O15527
P21589,O15527
P09874,O15527
P49419,P00325
P09488,P00325
P09211,P00325
P0CG30,P00325
P08263,P00325
O60760,P00325
P21266,P00325
O15217,P00325
P62306,O43447
P62316,O43447
P62304,O43447
P62318,O43447
P62308,O43447
Q9Y3B4,O43447
P09661,O43447
P08579,O43447
Q15427,O43447
Q9BUQ8,O43447
Q13123,O43447
Q00610,Q9BZE9
Q15233,Q9BZE9
P04637,O15297
Q00987,O15297
O14757,O15297
Q13951,O15297
Q16595,Q9H3K6
P61247,Q15041
P62081,Q15041
P62888,Q15041
P63173,Q15041
P08865,Q15041
P39019,Q15041
P62913,Q15041
P46777,Q15041
P23396,Q15041
P46782,Q15041
P60866,Q15041
P62851,Q15041
P25398,Q15041
P63244,Q15041
P62979,Q15041
P62263,Q15041
P30050,Q15041
P05387,Q15041
Q9UNX3,Q15041
P04233,Q15041
P06744,Q9H477
P01137,Q6EMK4
P39905,P41161
P52789,P16278
P19367,P16278
O75390,P04424
P11498,P04424
P21912,P04424
P53396,P04424
P35558,P04424
P0C0S5,Q12830
Q9C005,Q12830
Q9BYW2,Q12830
P61964,Q12830
P06744,P11177
O75390,P11177
P04075,P11177
P09972,P11177
O00144,Q9Y4P3
P04637,Q9NX09
P31946,Q9NX09
P63104,Q9NX09
P31749,Q9NX09
P0CG48,Q8TAF3
P0CG47,Q8TAF3
P62979,Q8TAF3
Q99259,P22676
P01282,P22676
P14136,P22676
Q9BY32,Q8WVQ1
O14638,Q8WVQ1
P07741,Q8WVQ1
P30613,Q8WVQ1
P14618,Q8WVQ1
Q8N142,Q8WVQ1
P04637,O75528
P61964,O75528
P20226,O75528
Q8N257,O75528
Q16778,O75528
Q14790,P99999
Q00403,Q14919
Q16778,Q14919
P09661,P26368
P62308,P26368
P62316,P26368
P62306,P26368
P62304,P26368
P49915,P15104
P05091,P15104
P30837,P15104
P49419,P15104
Q04637,Q96DU9
P06730,Q96DU9
P60842,Q96DU9
Q14240,Q96DU9
P01308,P29120
Q13546,P29120
P41159,P29120
P02751,Q9HCU0
P16070,P50281
P02647,P50281
P63096,P50281
P08754,P50281
P98160,P50281
P07585,P50281
P14780,P50281
P36894,Q6NW40
Q04771,Q6NW40
P12644,Q6NW40
Q92831,Q8N668
Q16665,Q8N668
P25963,Q8N668
Q13616,Q8N668
P10909,Q8N668
Q13489,Q8N668
Q7Z2W9,Q96DV4
O75394,Q96DV4
P52815,Q96DV4
Q9BYD6,Q96DV4
Q96E11,Q96DV4
P06737,Q86XI6
P31749,Q9UBS0
P05412,Q9UBS0
Q9Y243,Q9UBS0
P27361,Q9UBS0
P17612,Q9UBS0
P15056,Q9UBS0
P31751,Q9UBS0
P28482,Q9UBS0
P06730,Q9UBS0
Q15648,Q9UBS0
P13693,Q9UBS0
P07900,Q9UBS0
P00533,Q04695
P61586,Q92730
P31948,Q92730
O75116,Q92730
P20936,Q92730
P61204,Q92730
P60842,O60516
Q04637,O60516
P12931,O00212
P27037,P55103
Q13705,P55103
P01137,P55103
P00747,P07477
P05067,P07477
P01009,P07477
P11226,P07477
P02760,P07477
Q92769,Q14781
Q09028,Q14781
O00762,Q14781
P06396,Q9NYL9
P09493,Q9NYL9
Q01484,Q9NYL9
P51884,O43704
P02751,Q9HCN6
P48061,Q99731
Q07325,Q99731
P02778,Q99731
O14625,Q99731
P10145,Q99731
P13500,Q99731
P01730,Q99731
P09341,Q99731
P01732,Q99731
P19875,Q99731
P07737,Q9BXR5
P01137,P11464
P45983,P35236
P45984,P35236
Q06124,P35236
P04114,P78380
Q8WTV0,P78380
P16671,P78380
P10809,P78380
P04637,Q9BZR8
Q07817,Q9BZR8
P40926,P21399
P38646,P21399
P61586,P17612
P05412,P17612
P27361,P17612
P35222,P17612
P45985,Q16584
P78352,Q16584
P63000,Q16584
P14317,A1X283
P12931,A1X283
P42768,A1X283
P35222,Q99593
Q92831,Q99593
O15520,Q99593
P01375,P78536
P14151,P78536
Q16539,P78536
Q13257,P78536
P08138,P78536
P21926,P78536
P01133,P78536
P78423,P78536
P49588,Q9BUB4
P02751,P28906
P10415,P28906
P09919,P28906
P16070,P28906
P35968,P28906
P21589,P28906
P08700,P28906
P19320,P28906
P05556,P28906
P10321,O43908
P17693,O43908
O60603,P17066
P45983,P17066
P45984,P17066
P08238,P17066
P07900,P17066
P11021,P17066
P11142,P17066
Q9NZL4,P17066
P84077,Q9H0U4
O14653,Q9H0U4
P04637,Q9UBN6
O15519,Q9UBN6
P20936,Q07960
P63000,Q07960
O00401,Q07960
Q01968,Q07960
P42768,Q07960
P08567,Q07960
P27695,Q92889
P39748,Q92889
P56962,Q96IW7
O43752,Q96IW7
Q9H115,Q96IW7
P54920,Q96IW7
P25788,P62195
P20618,P62195
P25786,P62195
P62316,O15116
P62304,O15116
P62306,O15116
P06730,O15116
P62318,O15116
P62308,O15116
P10809,Q9H1K1
P15291,O60909
P55769,Q9BUQ8
P09661,Q9BUQ8
P08579,Q9BUQ8
Q15427,Q9BUQ8
Q9Y3B4,Q9BUQ8
P10415,Q9UBX1
Q07817,Q9UBX1
P55957,Q9UBX1
P07339,Q9UBX1
Q9H0R8,Q9UBX1
Q00987,P42574
P35222,P42574
P28482,P42574
P04637,P42574
Q9NZQ7,Q8TD46
P38936,P61024
P0CG48,P61024
P0CG47,P61024
P62979,P61024
Q15843,P61024
O00762,P61024
Q13257,P61024
O43683,P61024
P09619,P49765
P11362,P49765
P16234,P49765
P04629,P49765
P21802,P49765
P10721,P49765
P00533,P49765
P07333,P49765
P04626,P49765
P25774,Q15828
O43683,Q9H900
Q13257,Q9H900
O14777,Q9H900
P53350,Q9H900
P20248,Q9H900
P14635,Q9H900
P84077,P20340
Q96AJ9,P20340
P62491,P20340
O43752,P20340
O75379,P20340
O95881,P09488
P22352,P09488
P18283,P09488
Q96SL4,P09488
O75715,P09488
O95881,Q6P582
P60484,O95271
P09874,O95271
P35222,O95271
P41235,O95271
Q08211,Q12972
P98160,P12034
P35968,P12034
P00533,P12034
P35916,P12034
P07585,P12034
P16234,P12034
P09619,P12034
P04629,P12034
P14210,P12034
P16070,P12034
P60468,O95747
O60674,P17706
P29597,P17706
P51692,P17706
P42229,P17706
Q03393,P17706
P29350,P17706
P12931,P17706
P00533,P17706
P01589,P17706
P10600,Q8N2S1
Q15759,P12036
Q16539,P12036
O15264,P12036
P53778,P12036
P00441,P12036
Q13148,P12036
P10636,P12036
O95292,P12036
P06239,Q8TDQ0
P16410,Q8TDQ0
P01732,Q8TDQ0
P01579,Q8TDQ0
P22301,Q8TDQ0
P17931,Q8TDQ0
P06241,Q8TDQ0
P01730,Q8TDQ0
P01730,P09564
P08637,P09564
P28907,P09564
P11215,P09564
P01732,P09564
P10721,P09564
P28906,P09564
P20963,P09564
P12931,Q92556
P07948,Q92556
P63000,Q92556
P43405,Q92556
P04075,Q9BRR6
P09972,Q9BRR6
P05062,Q9BRR6
O95479,Q9BRR6
P11413,Q9BRR6
P29401,Q9BRR6
P37837,Q9BRR6
Q02750,P25098
Q00987,P25098
P31749,P25098
P01042,P25098
P35354,P04054
P28482,P04054
P21964,P51580
P19224,P51580
Q9HAW9,P51580
P01730,Q16853
P11215,Q16853
P01732,Q16853
P20701,Q16853
P08637,Q16853
O75015,Q16853
P14151,Q16853
Q9BZS1,Q16853
P16410,Q9UIB8
P06729,Q9UIB8
Q00610,O75843
Q13490,O15519
Q07817,O15519
P42574,O15519
P19438,O15519
Q13489,O15519
P04637,O15519
P10415,O15519
P09038,Q6UVK1
P09619,Q6UVK1
P07585,Q6UVK1
P16234,Q6UVK1
P98160,Q6UVK1
P35052,Q6UVK1
P78352,Q6PJG9
P19429,O15273
O60674,P41159
P42574,P42575
Q14790,P42575
Q13490,P42575
P99999,P42575
P19438,P42575
P04637,P42575
Q15628,P42575
P10415,P42575
Q13158,P42575
Q07817,P42575
P55210,P42575
P02768,P01241
P09919,P01241
P05019,P01241
P01189,P01241
P61278,P01241
P61769,P01241
P01308,P01241
P17936,P01241
O60674,P01241
P47224,Q92930
Q9UHD2,Q92930
P14923,Q92930
P08670,Q92930
Q13618,Q14681
P12004,Q14681
Q13148,Q14681
P61956,Q14681
P04114,Q9NY15
Q86VB7,Q9NY15
Q92793,P41235
P84022,P41235
P01106,P41235
P49841,P41235
Q9UQ80,P41235
P05412,P41235
Q15648,P41235
Q15796,P41235
P04637,P41235
Q16665,P41235
P49715,P41235
P63208,Q15653
Q13616,Q15653
P62837,Q15653
Q9UDY8,Q15653
O95999,Q15653
P01375,Q15653
O95786,Q15653
Q15046,Q8TDF5
P11142,Q14103
P09651,Q14103
P67809,Q14103
P04818,O60930
Q9BQG2,O60930
P04406,O60930
P00558,O60930
P07205,O60930
P39748,O60930
P62993,P98082
P36897,P98082
Q00610,P98082
P02786,P98082
Q15811,P98082
P49407,P98082
O14641,P98082
P37173,P98082
Q96B97,P98082
Q14108,P98082
P04818,Q9UBQ7
P04406,Q9UBQ7
P14618,Q9UBQ7
P30613,Q9UBQ7
P62979,A0AVT1
P0CG48,A0AVT1
P22314,A0AVT1
P51668,A0AVT1
P10415,P47929
P84022,P47929
P04062,P20151
P27361,Q9NYA1
P17252,Q9NYA1
P28482,Q9NYA1
P05771,Q9NYA1
P05129,Q9NYA1
Q14457,Q9NYA1
P21399,Q8N4E7
P53350,O43805
P62195,O43805
P21926,P15529
P01730,P15529
Q13618,Q96GD4
P36873,Q96GD4
P68431,Q96GD4
P04637,Q96GD4
P25685,O60884
P07900,O60884
P31948,O60884
P08238,O60884
P38646,O60884
P11021,O60884
Q92598,O60884
Q9UDY4,O60884
Q9Y266,O60884
P02751,P07288
P02768,P07288
P04637,P07288
P05019,P07288
P15941,P07288
P02741,P07288
P02768,P35219
Q96ES7,Q9UBP6
P49591,Q9UBP6
Q9Y221,Q9UBP6
O00541,Q9UBP6
P19388,Q9UBP6
Q9UQ80,Q9UBP6
O60260,P04062
Q6GPI1,P04062
P17538,P04062
P17987,P04062
P63010,Q8N6T3
P17861,Q8N6T3
O75390,P51649
P11498,P51649
P35558,P51649
Q6YN16,P51649
Q99259,P51649
P98172,Q9Y6X8
P01112,Q9Y6X8
P01584,Q9H0E2
Q13501,Q9H0E2
P0CG48,Q9H0E2
P01583,Q9H0E2
P10721,Q9NPH3
Q14116,Q9NPH3
P10145,O15123
P16234,O15123
P00533,O15123
P11362,O15123
P09619,O15123
P16109,O15123
P09038,O15123
P07333,O15123
P10721,O15123
P40763,Q9UHF4
P22301,Q9UHF4
P04141,Q9UHF4
P42224,Q9UHF4
P01579,Q9UHF4
P40933,Q9UHF4
P05231,Q9UHF4
P29597,Q9UHF4
P05112,Q9UHF4
Q15067,P43155
O75390,P43155
P23396,Q9BYD6
P46777,Q9BYD6
P62913,Q9BYD6
P61247,Q9BYD6
P39019,Q9BYD6
P62888,Q9BYD6
P62851,Q9BYD6
P62081,Q9BYD6
P60866,Q9BYD6
Q15008,Q7Z4L9
P62979,Q96EP0
P0CG47,Q96EP0
O14920,Q96EP0
P02749,P10909
P13804,Q6UB28
Q6Q788,Q8TD84
P61586,Q9NNX6
P05362,Q9NNX6
P01730,Q9NNX6
P22301,Q9NNX6
O60603,Q9NNX6
O00206,Q9NNX6
Q8TCD5,P04818
P21589,P04818
Q9BXI3,P04818
P46777,Q8NHL6
P43405,Q8NHL6
P26718,Q8NHL6
P01732,Q8NHL6
P01730,Q8NHL6
Q92793,P52948
P62826,P52948
P06748,P52948
P31943,Q13151
P09651,Q13151
P26368,Q13151
Q15717,Q13151
Q14103,Q13151
Q13148,Q13151
P62995,Q13151
P22626,Q13151
P62306,Q13151
O60506,Q13151
Q13247,Q13151
P62316,Q13151
P62304,Q13151
O43508,Q8N302
Q9Y6K9,P61088
O00206,P61088
P61586,Q9H2X3
P15144,Q9H2X3
P27487,Q9H2X3
P26640,O95363
Q15046,O95363
P41252,O95363
P56192,O95363
P12081,O95363
P49591,O95363
P16333,Q9UQB8
P00533,Q9UQB8
O43639,Q9UQB8
P31749,Q9UQB8
P12931,Q9UQB8
Q15762,Q6DKI7
Q495A1,Q6DKI7
O00401,O00499
P02649,O00499
P62993,O00499
P42768,O00499
P05067,O00499
Q9Y5K6,O00499
P46108,Q00169
O95631,Q00169
O14757,Q9H9A7
P35968,Q9Y4D7
Q9UIW2,Q9Y4D7
Q9HCM2,Q9Y4D7
P62258,Q5PRF9
P00533,P08581
P12931,P08581
P35222,P08581
P40763,P08581
P19174,P08581
P01112,P08581
P22681,P57075
P00533,P57075
P0CG48,P57075
P08238,P17987
P11142,P17987
P07900,P17987
P30837,O94925
P09622,O94925
P05091,O94925
P49419,O94925
Q13761,Q92886
Q15465,Q92886
P02649,O14791
P02749,O14791
P04114,O14791
Q9UKV8,Q9BUL9
P48730,Q9BUL9
P62263,Q9BUL9
P62081,Q9BUL9
Q9NX24,Q9BUL9
P55769,Q9BUL9
O75460,Q9BUL9
Q08211,Q9BUL9
Q9UL18,Q9BUL9
Q14653,Q8N5H7
P05161,Q8N5H7
P00533,Q8N5H7
P12931,Q8N5H7
P04637,Q7Z6E9
Q00987,Q7Z6E9
P67809,Q7Z6E9
P19438,Q15025
P0CG48,Q15025
Q9Y6K9,Q15025
P19838,Q15025
P0CG47,Q15025
Q9UHD2,Q15025
Q00610,Q15075
P04626,Q15075
P27824,Q15075
P62330,Q15075
P35222,O75116
P60484,O75116
P19838,O75116
P27361,O75116
P28482,O75116
Q13480,O75116
Q15910,Q96GD3
P16109,Q11130
P14151,Q11130
O95786,O75569
Q08211,O75569
Q9BYX4,O75569
O75460,O75569
P52597,Q96I24
P01106,P19338
P04637,P19338
P00533,P19338
P07910,P19338
P12956,P19338
Q00987,P19338
P37840,P19338
Q9Y5K5,Q9Y265
P19388,Q9Y265
P08238,Q9Y265
P01106,Q9Y265
P61964,Q9Y265
P07900,Q9Y265
P37837,P34949
Q96G03,P34949
O95479,P34949
P10809,Q96TA2
Q9HAV7,Q96TA2
P61604,Q96TA2
O00429,Q96TA2
Q8IWA4,Q96TA2
Q9Y3D6,Q96TA2
P30566,Q9NRG1
P23921,Q9NRG1
P00492,Q9NRG1
P00491,Q9NRG1
P04637,Q6EEV6
Q05513,Q6EEV6
Q15843,Q6EEV6
P12004,Q6EEV6
P46060,Q6EEV6
Q15819,Q6EEV6
P61088,Q6EEV6
Q06609,Q6EEV6
Q9Y265,Q68E01
P45983,P55957
P45984,P55957
P30566,P34896
O60603,Q9UEW3
P41208,Q12798
P21399,Q53TN4
P62306,Q96A72
P62308,Q96A72
P62316,Q96A72
P62318,Q96A72
P08579,Q96A72
P09661,Q96A72
P55769,Q96A72
Q9UMS4,Q96A72
P60842,Q96A72
O94906,Q96A72
P83876,Q96A72
P17612,Q9NPA1
Q13616,Q8IWE4
Q13618,Q8IWE4
Q8TBC4,Q8IWE4
Q15843,Q8IWE4
P06744,O60701
Q99259,P23434
P49448,P23434
P04818,P23434
P00367,P23434
O43683,Q9Y266
Q15185,Q9Y266
P36873,Q9Y266
O95229,Q9Y266
P07900,Q9Y266
P63167,Q9Y266
P48643,Q9Y266
P18206,Q63HR2
P12931,Q63HR2
P04637,P15559
Q16665,P15559
P00390,P15559
P10599,P15559
P18283,P15559
P55263,P15559
Q13618,P15559
P22352,P15559
Q96SL4,P15559
O75715,P15559
P09211,P15559
P09488,P15559
P37231,P35558
P00505,P35558
Q9NR19,P35558
P11177,P35558
P49448,P35558
P29803,P35558
Q9UBK2,P35558
P17174,P35558
P60953,Q9H4E7
P15153,Q9H4E7
Q07157,O75970
P46937,O75970
P22681,Q99963
P00533,Q99963
Q5S007,Q99963
P08581,Q99963
Q96B97,Q99963
Q8WUM4,Q99963
P01133,Q99963
O60260,Q99963
Q15811,Q15642
P50570,Q15642
P35222,Q15910
P68431,Q15910
P40763,Q15910
Q00987,Q15910
P35222,P14618
P16070,P14618
P04406,P14618
P07948,P14317
P18206,P14317
Q13093,P53816
P35354,P53816
P27361,P53816
P28482,P53816
P13591,O43173
P04637,O14497
P37231,O14497
P30153,O14497
Q15910,O14497
P01116,O14497
Q92793,O14497
O60885,O14497
P06400,O14497
P04150,O14497
P06401,O14497
P60484,O14497
P48431,O14497
O76036,O14497
P08238,P27797
P07900,P27797
O00206,P27797
O95166,P27797
O43633,Q9UBP0
Q9BY43,Q9UBP0
Q9UQN3,Q9UBP0
Q92890,Q9UBP0
P05231,Q96F46
P01375,Q96F46
Q9GZX6,Q96F46
P09341,Q96F46
P10145,Q96F46
P01730,Q96F46
P01584,Q96F46
Q5VWK5,Q96F46
Q9UKV8,A5YKK6
Q14240,A5YKK6
Q04637,A5YKK6
P47756,A5YKK6
O60603,P81534
P80188,P81534
P14151,Q6UXG3
P37837,P23368
Q01344,Q9NYZ4
P01189,P20366
P23560,P20366
P01275,P20366
P01583,P20366
Q16620,P20366
P19883,Q92563
P01266,Q92563
P14618,P37837
P00338,P37837
P40763,Q5VWK5
P01579,Q5VWK5
P05231,Q5VWK5
Q16552,Q5VWK5
P05112,Q5VWK5
P60568,Q5VWK5
P04141,Q5VWK5
P01562,Q5VWK5
P01375,Q5VWK5
P35225,Q5VWK5
P15248,Q5VWK5
P13232,Q5VWK5
Q9NP95,Q86XE3
P31371,Q86XE3
Q9UIW2,Q14194
Q9HCM2,Q14194
O14786,Q14194
P31948,Q14194
P98160,P55075
P07585,P55075
P35968,P55075
P00533,P55075
P04629,P55075
P09619,P55075
P39905,P43268
P02751,P08697
P00734,P08697
P04004,P08697
P07996,P08697
P01009,P08697
P08246,P08697
P02749,P08697
P02768,P08697
P01008,P08697
P04196,P08697
P10909,P10643
P28906,P10643
P10415,P10643
O14672,P10643
Q14457,Q96DT6
Q8NEB9,Q96DT6
O00401,Q8NHR9
P61586,Q8NHR9
P21333,Q8NHR9
P68104,Q8NHR9
P02768,Q8IXL6
P23396,Q8IXL6
P51948,Q8IZL9
P29084,Q8IZL9
P29083,Q8IZL9
P17612,Q8IWT1
Q8TCD5,Q9H773
Q9BXI3,Q9H773
P49902,Q9H773
P21589,Q9H773
Q9H0P0,Q9H773
O75390,Q01581
P01584,P03956
P40763,P03956
P05231,P03956
P05412,P03956
P16112,P03956
P17301,P03956
P01137,P03956
P01583,P03956
P01023,P03956
P02751,P03956
P55081,P55082
P00338,O15382
P07864,O15382
P11182,O15382
P11177,O15382
Q9NYH9,Q9NQT5
P22087,Q9NQT5
P55769,Q9NQT5
Q7Z2W9,Q8TAE8
Q9BYC8,Q8TAE8
P52815,Q8TAE8
Q9BYD6,Q8TAE8
Q96E11,Q8TAE8
O60783,Q8TAE8
P20963,P30203
P01730,P30203
P01732,P30203
P10747,P30203
P06239,P30203
P20701,P30203
P15498,P30203
P17861,Q14554
P18850,Q14554
Q08708,Q9Y286
P13747,Q9Y286
P12956,Q96T60
P09874,Q96T60
P05305,Q9UKP6
P43490,Q8WWA0
Q15848,Q8WWA0
P41159,Q8WWA0
P35222,P48431
P01106,P48431
P09038,P48431
P84022,P48431
P68431,P48431
P40763,P48431
P04637,P48431
P08620,P48431
P21549,Q9UJ83
O75390,Q9UJ83
P11177,Q9UJ83
P51553,Q9UJ83
Q15067,Q9UJ83
O75581,Q14332
P35222,Q14332
P50148,Q14332
Q13501,Q9BYV6
Q14596,Q9BYV6
P01584,P01023
P02649,P01023
P11021,P01023
P05231,P01023
P01137,P01023
P06744,P13929
P06733,P13929
P37837,P13929
P29401,P13929
P08238,P11021
P84077,Q15057
O00161,Q8NFX7
Q13277,Q8NFX7
P54920,Q8NFX7
Q9BV40,Q8NFX7
P60880,Q8NFX7
Q99747,Q8NFX7
Q9BV40,Q86SS6
Q15836,Q86SS6
P63027,Q86SS6
Q05397,Q15942
P12931,Q15942
P21333,Q15942
P07737,Q15942
P02751,Q15942
Q96GD4,Q8WYJ6
P16070,Q16787
P08648,Q16787
P17301,Q16787
P18564,Q16787
P18084,Q16787
P05556,Q16787
Q14118,Q16787
Q9UKX5,Q16787
Q05397,Q16787
P26010,Q16787
P09237,Q16787
Q08211,Q13045
O43752,Q99747
Q9UEU0,Q99747
Q12846,Q99747
O95249,Q99747
Q9BV40,Q99747
O95721,Q99747
P63027,Q99747
P51809,Q99747
Q15836,Q99747
P60880,Q99747
P12644,Q96NZ8
P04637,P30153
P27361,P30153
P28482,P30153
P04637,P49841
P07900,P49841
O75390,Q86V21
Q6YN16,Q86V21
P01730,P10747
P07900,P06401
P04626,P06401
P08238,P06401
P17612,P06401
P12931,P06401
P27986,P06401
P45983,P06401
Q16539,P06401
P53778,P06401
Q15759,P06401
O15264,P06401
P45984,P06401
P42229,P06401
Q15303,P06401
P51692,P06401
P24844,Q96A32
Q8WZ42,Q96A32
P50552,Q14847
P46777,P50579
Q9Y5K5,P50579
P23396,P50579
P62913,P50579
Q15648,P50579
Q9UNX3,P50579
P46782,P50579
O00541,P50579
Q9UKD2,P50579
Q5T653,P50579
P63208,P50579
P62263,P50579
Q13148,P52272
P08865,Q15046
Q7Z2W9,Q15046
Q06124,P43630
P29350,P43630
P13747,P43630
O75197,O96014
O14641,O96014
P05091,Q96KP4
P15104,Q96KP4
P00367,Q96KP4
P49448,Q96KP4
P38646,Q5TGZ0
P48736,P11049
P06729,P11049
P21926,P11049
P43405,P11049
P60033,P11049
P08962,P11049
P20273,P11049
P04637,P49959
O14757,P49959
P43246,P49959
P61956,P49959
Q92889,P49959
P09874,P49959
P24941,P49959
P07910,Q16629
P31943,Q16629
P38919,Q16629
Q13838,Q16629
P52298,Q16629
P61978,Q16629
O43390,Q16629
P28066,Q969U7
P25786,Q969U7
P25788,Q969U7
P49721,Q969U7
P28070,Q969U7
P25789,Q969U7
P60900,Q969U7
Q99436,Q969U7
P25787,Q969U7
P20618,Q969U7
P28065,Q969U7
P49720,Q969U7
P28074,Q969U7
O14818,Q969U7
P60484,Q8WUK0
Q14118,Q9BXM0
P01008,Q9Y5K2
P01138,Q9Y5K2
Q96IY4,Q9Y5K2
P01019,Q9Y5K2
P61077,Q8WZ73
P04637,Q8WZ73
P16219,Q9BTZ2
Q15067,Q9BTZ2
P55884,Q14240
O75821,Q14240
Q96A72,Q14240
P05198,Q14240
P22607,Q9Y6A5
P53350,Q9Y6A5
Q00610,Q9Y6A5
P06730,Q9Y6A5
O43683,Q9Y6A5
Q13257,Q9Y6A5
Q9H0H5,Q9Y6A5
Q92830,Q9Y6A5
O14777,Q9Y6A5
P20248,Q9Y6A5
Q96GD4,Q9Y6A5
P11362,Q9Y6A5
O43663,Q9Y6A5
P49815,Q9Y6A5
Q96KB5,Q9Y6A5
O15392,Q9Y6A5
P01375,Q9NP84
Q13490,Q9NP84
Q13489,Q9NP84
P19438,Q9NP84
Q9NP95,Q9NP84
Q9HCT0,Q9NP84
P10767,Q9NP84
O76093,Q9NP84
O43320,Q9NP84
Q15628,Q9NP84
O60258,Q9NP84
P12034,Q9NP84
P11487,Q9NP84
P31371,Q9NP84
P00533,Q6UXM1
P62979,Q13616
P0CG48,Q13616
P62316,P52298
P09661,P52298
P62304,P52298
P62308,P52298
P62306,P52298
P62318,P52298
Q04637,P52298
P08579,P52298
Q15427,P52298
P40763,P51449
Q9GZX6,P51449
P01730,P51449
P01579,P51449
P60568,P51449
Q15306,P51449
P05231,P51449
P01584,P51449
P42226,P51449
P04406,Q03252
P01106,Q03252
P30566,P40926
P20674,P40926
P20339,Q9NZN3
Q15796,P35813
P84022,P35813
P05556,Q9UKX5
P05107,Q9UKX5
P20701,Q9UKX5
P02452,Q9UKX5
P02751,Q9UKX5
Q05397,Q9UKX5
P07996,Q9UKX5
P23229,Q9UKX5
P01375,P21810
P16070,P21810
P12644,P21810
P16112,Q03692
P02452,Q03692
P02461,Q03692
Q14623,Q03692
P07237,Q03692
P01133,P09603
P00533,P09603
P09919,P09603
P10721,P09603
P04629,P09603
P12931,P09603
P09619,P09603
P08700,P09603
P35968,P09603
P22301,P09603
P17948,P09603
P16234,P09603
P42081,P09603
P33681,P09603
P13500,P09603
Q9BQG2,Q6ZNF0
O75390,P49448
P40926,P49448
P53396,P49448
P09622,P49448
P16070,Q6UXB4
P00533,O94973
P29353,O94973
Q14457,Q86W26
P01133,P07237
P55072,P07237
P04114,P07237
P01308,P07237
P30101,P07237
P17181,Q8IU57
P29597,Q8IU57
P22301,Q8IU57
P42224,Q8IU57
P01579,Q8IU57
O60674,Q8IU57
P05231,Q8IU57
P04141,P26951
P01111,P26951
P01116,P26951
P01112,P26951
P60568,P26951
P05231,P26951
P01730,P26951
O60674,P26951
P13591,P26951
P01563,P26951
P01574,P26951
P01579,P26951
O14786,P26951
P05112,P26951
P11021,Q96IZ0
Q05513,Q96IZ0
Q16552,Q9H293
P35225,Q9H293
P05113,Q9H293
P51671,Q9H293
P22301,Q6UXL0
P05231,Q6UXL0
P40763,Q6UXL0
O60674,Q6UXL0
P01579,Q6UXL0
P29597,Q6UXL0
P09919,Q6UXL0
P05112,Q6UXL0
P01133,Q9Y219
Q9BYW2,Q9Y219
O14672,Q9Y219
P56704,Q13253
P09038,Q13253
O00238,Q13253
P36894,Q13253
Q04771,Q13253
P01133,Q13253
P01589,Q9Y5U5
P33681,Q9Y5U5
P01730,Q9Y5U5
P26842,Q9Y5U5
P42081,Q9Y5U5
P19438,Q9Y5U5
Q8TDQ0,Q9Y5U5
P60568,Q9Y5U5
Q9NZQ7,Q9Y5U5
P49961,Q9Y5U5
P68431,Q9P0W2
P01730,P59666
P10599,Q86SX6
Q16881,Q86SX6
P10599,O60613
Q16881,O60613
P06241,P52803
P04629,P52803
P08138,P52803
P08069,P52803
P01583,O00165
Q99062,O00165
P36888,Q8IWS0
P06748,Q8IWS0
P16220,Q70SY1
Q92793,Q70SY1
P49841,Q70SY1
Q9UBK2,Q70SY1
P27361,Q70SY1
P28482,Q70SY1
P31749,Q70SY1
