protein1,protein2
P22735,Q0D2K0
P22735,Q92817
P22735,Q15517
P22735,Q02413
P22735,P31944
Q70J99,P51159
Q70J99,O00194
Q70J99,P60903
Q70J99,O60880
O75191,Q00796
O75191,Q96AT9
O75191,P29401
O75191,P37837
O75191,O95747
O75191,P32754
O75191,P35612
O75191,P11177
P07327,P00325
P07327,P00326
P07327,P05091
P07327,P00352
P07327,P21964
P07327,P10768
P07327,P30837
P07327,P47895
P07327,P30838
P07327,O60760
P07327,P09211
P07327,P49419
P07327,O94788
P07327,P43353
P07327,P09488
P07327,P08263
P07327,P09210
P07327,P19224
P07327,Q16772
P07327,P0CG30
P45973,P68431
P45973,Q13263
P45973,Q13185
P45973,Q96IY1
P45973,Q96KQ7
P45973,P83916
P45973,Q09028
P45973,Q6P1K2
P45973,Q86Y97
P45973,Q9BQF6
P45973,Q96GD4
P49366,P63241
P49366,Q9BU89
P49366,Q9GZV4
P49366,P27361
P49366,P00374
P49366,P11926
P49366,P19623
Q16401,Q16186
Q16401,Q15008
Q16401,P55036
Q16401,P17980
Q16401,P62195
Q16401,P51665
Q16401,P62979
Q16401,O00231
Q16401,O00233
Q16401,Q9Y5K5
Q16401,O75832
Q16401,P28070
Q16401,P54578
Q16401,P28074
Q16401,P20618
Q16401,P25786
Q16401,O14818
Q16401,P25787
Q16401,P49721
Q16401,P36776
Q9NR45,Q9Y223
Q9NR45,Q8TBE9
Q9NR45,Q9BXD5
Q9NTN9,O15031
Q9NTN9,Q9ULL4
Q16772,P08263
Q16772,P09210
Q16772,P00390
Q16772,P30041
Q16772,P08684
Q16772,P48637
Q16772,O95881
Q16772,P78417
Q16772,Q16236
Q16772,P0CG30
Q16772,P46439
Q16772,Q96SL4
Q16772,P22352
Q16772,P18283
Q16772,O75715
Q16772,O60760
Q16772,O15217
Q16772,P28332
Q16772,P09488
Q16772,P21266
O15264,Q16644
O15264,P49137
O15264,P52564
O15264,P46734
O15264,P05412
O15264,Q02750
O15264,P36507
O15264,P60953
O15264,Q8IW41
O15264,P04637
O15264,P27361
O15264,P45984
O15264,Q15256
O15264,P31749
O15264,P35236
O15264,P17676
O15264,P31751
O15264,P45985
O15264,P51452
O15264,P30305
P18206,P35221
P18206,O43707
P18206,Q15942
P18206,P50552
P18206,Q9Y4G6
P18206,P12814
P18206,O60504
P18206,Q05397
P18206,P21333
P18206,P35222
P18206,P12931
P18206,P12830
P18206,Q13418
P18206,P02751
P18206,Q12864
P18206,O00401
P18206,P15311
P18206,Q8NHR9
P18206,P07737
P18206,P33151
Q96EB6,O43524
Q96EB6,Q9UBK2
Q96EB6,Q12778
Q96EB6,P04637
Q96EB6,P37231
Q96EB6,P43490
Q96EB6,Q9H1Y0
Q96EB6,O95352
Q96EB6,Q9H0R8
Q96EB6,Q9HAN9
Q96EB6,P19838
Q96EB6,P60520
Q96EB6,Q92831
Q96EB6,Q8IXJ6
Q96EB6,P28907
Q96EB6,Q92830
Q96EB6,P40261
Q96EB6,Q15910
Q96EB6,Q10588
Q96EB6,P25490
Q03167,P01137
Q03167,P61812
Q03167,P10600
Q03167,P37173
Q03167,P36897
Q03167,P27037
Q03167,P05111
Q03167,P12643
Q03167,Q9BXN2
Q03167,P12644
Q03167,P43026
P28698,P57086
P28698,Q9BX97
P61266,Q15836
P61266,P63027
P61266,P60880
P61266,P23763
P61266,O00161
P61266,O75379
P61266,Q9BV40
P61266,P54920
P61266,Q9H115
P61266,P51809
P61266,O43752
P61266,P21579
P61266,P46459
P61266,O95721
P61266,Q16623
P61266,O14810
P61266,Q6PUV4
P61266,P32856
P61266,Q9UPW8
P61266,Q9UNK0
O43921,P21709
O43921,P29317
O43921,P54764
O43921,P29320
O43921,P54756
O43921,Q15375
O43921,P29322
O43921,Q5JZY3
O43921,O14672
O43921,P06241
O43921,P20936
O43921,P29323
O43921,Q9UF33
O43921,O15197
O43921,P54762
O43921,P54760
O43921,Q16620
O43921,P08138
O43921,P04629
O43921,P00533
Q9HCT0,P21802
Q9HCT0,P11362
Q9HCT0,P22455
Q9HCT0,Q9UEF7
Q9HCT0,P01133
Q9HCT0,Q14512
Q9HCT0,P22607
Q9HCT0,P98160
Q9HCT0,P07585
Q9HCT0,P35968
Q9HCT0,P00533
Q9HCT0,P35916
Q9HCT0,Q9GZV9
Q9HCT0,Q86Z14
Q9HCT0,P09619
Q9HCT0,P04629
Q9HCT0,P19022
Q9HCT0,P14210
Q9HCT0,P17948
Q9HCT0,P16070
O75264,O75521
O75264,Q6YN16
O75264,P13804
Q9Y5L4,O60220
Q9Y5L4,P62072
Q9Y5L4,O14925
Q9Y5L4,Q9Y5J6
Q9Y5L4,Q3ZCQ8
Q9Y5L4,Q03252
Q9Y5L4,P55789
Q9Y5L4,P62316
Q9Y5L4,Q9Y512
P49427,P0CG48
P49427,P63208
P49427,Q13616
P49427,P22314
P49427,P62979
